cve_agem,nom_agem
010,Atemajac De Brizuela
017,Atempan
008,Atenango Del Río
011,Atenco
011,Atengo
012,Atenguillo
018,Atexcal
007,Atil
010,Atitalaquia
012,Atizapán
013,Atizapán De Zaragoza
014,Atlacomulco
020,Atlahuilco
009,Atlamajalcingo Del Monte
003,Atlangatepec
011,Atlapexco
002,Atlatlahucan
015,Atlautla
080,Atlequizayan
019,Atlixco
010,Atlixtac
004,Atltzayanca
003,Atolinga
013,Atotonilco De Tula
013,Atotonilco El Alto
012,Atotonilco El Grande
014,Atoyac
011,Atoyac De Álvarez
020,Atoyatempan
022,Atzacan
021,Atzala
023,Atzalan
022,Atzitzihuacán
023,Atzitzintla
015,Autlán De Navarro
016,Axapusco
003,Axochiapan
053,Axtla De Terrazas
024,Axutla
025,Ayahualulco
004,Ayala
017,Ayapango
398,Ayoquezco De Aldama
016,Ayotlán
025,Ayotoxco De Guerrero
009,Ayotzintepec
017,Ayutla
012,Ayutla De Los Libres
002,Azcapotzalco
013,Azoyú
004,Baca
008,Bacadéhuachi
010,Bacalar
009,Bacanora
010,Bacerac
006,Bachíniva
011,Bacoachi
012,Bácum
003,Badiraguato
020,Bahía De Banderas
001,Balancán
007,Balleza
013,Banámichi
026,Banderilla
008,Batopilas De Manuel Gómez Morín
014,Baviácora
015,Bavispe
010,Bejucal De Ocampo
011,Bella Vista
114,Benemérito De Las Américas
014,Benito Juárez
016,Benjamín Hill
012,Berriozábal
028,Boca Del Río
013,Bochil
009,Bocoyna
005,Bokobá
019,Bolaños
011,Briseñas
006,Buctzotz
010,Buenaventura
012,Buenavista
015,Buenavista De Cuéllar
005,Burgos
008,Bustamante
020,Cabo Corrientes
017,Caborca
015,Cacahoatán
007,Cacalchén
004,Cadereyta De Montes
009,Cadereyta Jiménez
018,Cajeme
010,Calakmul
029,Calcahualco
005,Calera
011,Calihualá
018,Calimaya
001,Calkiní
014,Calnali
008,Calotmul
026,Calpan
006,Calpulalpan
027,Caltepec
003,Calvillo
011,Camargo
007,Camarón De Tejeda
030,Camerino Z. Mendoza
028,Camocuautla
002,Campeche
099,Cañada Morelos
117,Cañadas De Obregón
019,Cananea
001,Canatlán
005,Candela
011,Candelaria
012,Candelaria Loxicha
002,Canelas
006,Cañitas De Felipe Pescador
009,Cansahcab
010,Cantamayec
120,Capitán Luis Ángel Vidal
247,Capulálpam De Méndez
019,Capulhuac
013,Carácuaro
020,Carbó
005,Cárdenas
015,Cardonal
012,Carichí
208,Carlos A. Carrillo
003,Carmen
031,Carrillo Puerto
008,Casas
013,Casas Grandes
021,Casimiro Castillo
006,Castaños
157,Castillo De Teayo
016,Catazajá
032,Catemaco
006,Catorce
029,Caxhuacan
033,Cazones De Herrera
007,Cedral
007,Celaya
011,Celestún
012,Cenotillo
003,Centla
004,Centro
011,Cerralvo
008,Cerritos
034,Cerro Azul
009,Cerro De San Pedro
054,Chacaltianguis
016,Chacsinkín
025,Chahuites
026,Chalcatongo De Hidalgo
045,Chalchicomula De Sesma
022,Chalchihuitán
009,Chalchihuites
025,Chalco
055,Chalma
004,Champotón
023,Chamula
024,Chanal
017,Chankom
026,Chapa De Mota
018,Chapab
030,Chapala
017,Chapantongo
046,Chapulco
018,Chapulhuacán
025,Chapultenango
027,Chapultepec
021,Charapan
015,Charcas
022,Charo
023,Chavinda
019,Chemax
026,Chenalhó
024,Cherán
027,Chiapa De Corzo
028,Chiapilla
010,Chiautempan
028,Chiautla
048,Chiautzingo
021,Chichimilá
050,Chichiquila
029,Chicoasén
029,Chicoloapan
030,Chicomuselo
056,Chiconamel
030,Chiconcuac
049,Chiconcuautla
057,Chiconquiaco
058,Chicontepec
020,Chicxulub Pueblo
051,Chietla
052,Chigmecatitlán
053,Chignahuapan
054,Chignautla
019,Chihuahua
022,Chikindzonot
055,Chila
056,Chila De La Sal
028,Chilapa De Álvarez
025,Chilchota
058,Chilchotla
019,Chilcuautla
031,Chilón
029,Chilpancingo De Los Bravo
031,Chimalhuacán
031,Chimaltitán
013,China
059,Chinameca
060,Chinampa De Gorostiza
059,Chinantla
026,Chinicuila
020,Chínipas
027,Chiquihuitlán De Benito Juárez
032,Chiquilistlán
062,Chocamán
023,Chocholá
007,Choix
063,Chontla
027,Chucándiro
064,Chumatlán
024,Chumayel
028,Churintzio
029,Churumuco
012,Ciénega De Flores
013,Ciénega De Zimatlán
022,Cihuatlán
017,Cintalapa
035,Citlaltépetl
010,Ciudad Del Maíz
011,Ciudad Fernández
014,Ciudad Ixtepec
009,Ciudad Madero
013,Ciudad Valles
020,Coacalco De Berriozábal
036,Coacoatzintla
014,Coahuayana
016,Coahuayutla De José María Izazaga
037,Coahuitlán
015,Coalcomán De Vázquez Pallares
018,Coapilla
015,Coatecas Altas
030,Coatepec
021,Coatepec Harinas
005,Coatlán Del Río
039,Coatzacoalcos
031,Coatzingo
040,Coatzintla
078,Cochoapa El Grande
022,Cocotitlán
017,Cocula
016,Coeneo
041,Coetzala
032,Cohetzala
033,Cohuecan
016,Coicoyán De Las Flores
074,Cojumatlán De Régules
002,Colima
042,Colipa
005,Colón
025,Colotlán
003,Comala
005,Comalcalco
043,Comapa
019,Comitán De Domínguez
001,Comondú
009,Comonfort
004,Compostela
018,Concepción Buenavista
026,Concepción De Buenos Aires
007,Concepción Del Oro
019,Concepción Pápalo
004,Concordia
003,Coneto De Comonfort
013,Conkal
020,Constancia Del Rosario
017,Contepec
018,Contla De Juan Cuamatzi
021,Copainalá
018,Copala
019,Copalillo
020,Copanatoyac
018,Copándaro
004,Coquimatlán
044,Córdoba
014,Coronado
034,Coronango
010,Coroneo
006,Corregidora
011,Cortazar
005,Cosalá
045,Cosamaloapan De Carpio
046,Cosautlán De Carvajal
047,Coscomatepec
004,Cosío
021,Cosolapa
048,Cosoleacaque
022,Cosoltepec
049,Cotaxtla
019,Cotija
035,Coxcatlán
050,Coxquihui
015,Coyame Del Sotol
003,Coyoacán
036,Coyomeapan
023,Coyotepec
021,Coyuca De Benítez
022,Coyuca De Catalán
051,Coyutla
001,Cozumel
010,Cruillas
004,Cuajimalpa De Morelos
023,Cuajinicuilapa
024,Cualác
008,Cuapiaxtla
038,Cuapiaxtla De Madero
007,Cuatro Ciénegas
005,Cuauhtémoc
039,Cuautempan
025,Cuautepec
016,Cuautepec De Hinojosa
040,Cuautinchán
024,Cuautitlán
027,Cuautitlán De García Barragán
121,Cuautitlán Izcalli
028,Cuautla
041,Cuautlancingo
009,Cuaxomulco
042,Cuayuca De Andrade
022,Cucurpe
004,Cuencamé
012,Cuerámaro
007,Cuernavaca
026,Cuetzala Del Progreso
043,Cuetzalan Del Progreso
052,Cuichapa
023,Cuilápam De Guerrero
053,Cuitláhuac
020,Cuitzeo
006,Culiacán
023,Cumpas
014,Cuncunul
006,Cunduacán
029,Cuquío
018,Cusihuiriachi
027,Cutzamala De Pinzón
024,Cuyamecalco Villa De Zaragoza
044,Cuyoaco
015,Cuzamá
033,Degollado
009,Del Nayar
021,Delicias
024,Divisaderos
014,Doctor Arroyo
015,Doctor Coss
016,Doctor González
013,Doctor Mora
014,Dolores Hidalgo Cuna De La Independencia Nacional
060,Domingo Arenas
032,Donato Guerra
022,Dr. Belisario Domínguez
005,Durango
025,Dzán
026,Dzemul
027,Dzidzantún
028,Dzilam De Bravo
029,Dzilam González
030,Dzitás
031,Dzoncauich
016,Ebano
033,Ecatepec De Morelos
034,Ecatzingo
030,Ecuandureo
075,Eduardo Neri
034,Ejutla
009,El Arenal
010,El Barrio De La Soledad
014,El Bosque
010,El Carmen
007,El Carmen Tequexquitla
030,El Espinal
010,El Fuerte
037,El Grullo
205,El Higo
054,El Limón
010,El Llano
021,El Mante
011,El Marqués
058,El Naranjo
018,El Oro
122,El Parral
015,El Plateado De Joaquín Amaro
070,El Porvenir
070,El Salto
041,El Salvador
064,El Tule
008,Elota
020,Eloxochitlán
029,Eloxochitlán De Flores Magón
123,Emiliano Zapata
025,Empalme
035,Encarnación De Díaz
001,Ensenada
062,Epatlán
022,Epazoyucan
031,Epitacio Huerta
032,Erongarícuaro
009,Escárcega
008,Escobedo
009,Escuinapa
032,Escuintla
012,Españita
063,Esperanza
066,Espinal
032,Espita
026,Etchojoa
036,Etzatlán
007,Ezequiel Montes
002,Felipe Carrillo Puerto
067,Filomeno Mata
030,Florencio Villarreal
068,Fortín
009,Francisco I. Madero
033,Francisco León
064,Francisco Z. Mena
010,Fresnillo
032,Fresnillo De Trujano
010,Frontera
034,Frontera Comalapa
035,Frontera Hidalgo
027,Fronteras
033,Gabriel Zamora
023,Galeana
018,García
012,Genaro Codina
020,General Bravo
031,General Canuto A. Neri
011,General Cepeda
013,General Enrique Estrada
021,General Escobedo
065,General Felipe Ángeles
014,General Francisco R. Murguía
032,General Heliodoro Castillo
016,General Pánfilo Natera
070,General Plutarco Elías Calles
006,General Simón Bolívar
022,General Terán
023,General Treviño
024,General Zaragoza
025,General Zuazua
025,Gómez Farías
007,Gómez Palacio
012,González
026,Gran Morelos
028,Granados
038,Guachinango
027,Guachochi
039,Guadalajara
017,Guadalcázar
028,Guadalupe
034,Guadalupe De Ramírez
033,Guadalupe Etla
008,Guadalupe Victoria
029,Guadalupe Y Calvo
009,Guanaceví
015,Guanajuato
011,Guasave
029,Guaymas
030,Guazapares
035,Guelatao De Juárez
013,Güémez
012,Guerrero
036,Guevea De Humboldt
005,Gustavo A. Madero
015,Gustavo Díaz Ordaz
069,Gutiérrez Zamora
033,Halachó
005,Hecelchakán
068,Hermenegildo Galeana
030,Hermosillo
028,Heroica Ciudad De Ejutla De Crespo
039,Heroica Ciudad De Huajuapan De León
043,Heroica Ciudad De Juchitán De Zaragoza
397,Heroica Ciudad De Tlaxiaco
549,"Heroica Villa Tezoatlán De Segura Y Luna, Cuna De La Independencia De Oaxaca"
013,Hidalgo
032,Hidalgo Del Parral
070,Hidalgotitlán
028,Higueras
034,Hocabá
035,Hoctún
036,Homún
057,Honey
006,Hopelchén
040,Hostotipaquillo
031,Huachinera
005,Huajicori
029,Hualahuises
013,Huamantla
033,Huamuxtitlán
036,Huandacareo
016,Huanímaro
037,Huaniqueo
018,Huanusco
069,Huaquechula
032,Huásabas
024,Huasca De Ocampo
033,Huatabampo
070,Huatlatlauca
071,Huatusco
071,Huauchinango
040,Huautepec
025,Huautla
041,Huautla De Jiménez
072,Huayacocotla
026,Huazalingo
037,Huehuetán
027,Huehuetla
018,Huehuetlán
073,Huehuetlán El Chico
150,Huehuetlán El Grande
035,Huehuetoca
033,Huejotitán
074,Huejotzingo
041,Huejúcar
042,Huejuquilla El Alto
028,Huejutla De Reyes
034,Huépac
038,Huetamo
075,Hueyapan
073,Hueyapan De Ocampo
014,Hueyotlipan
036,Hueypoxtla
076,Hueytamalco
077,Hueytlalpan
037,Huhí
029,Huichapan
074,Huiloapan De Cuauhtémoc
008,Huimanguillo
008,Huimilpan
039,Huiramba
039,Huitiupán
009,Huitzilac
078,Huitzilan De Serdán
079,Huitziltepec
034,Huitzuco De Los Figueroa
037,Huixquilucan
038,Huixtán
040,Huixtla
038,Hunucmá
075,Ignacio De La Llave
034,Ignacio Zaragoza
035,Iguala De La Independencia
036,Igualapa
076,Ilamatlán
081,Iliatenco
035,Imuris
040,Indaparapeo
011,Indé
017,Irapuato
041,Irimbo
038,Isidro Fabela
077,Isla
003,Isla Mujeres
030,Iturbide
081,Ixcamilpa De Guerrero
082,Ixcaquixtla
037,Ixcateopan De Cuauhtémoc
078,Ixcatepec
079,Ixhuacán De Los Reyes
042,Ixhuatán
083,Ixhuatlán De Madero
080,Ixhuatlán Del Café
082,Ixhuatlán Del Sureste
081,Ixhuatlancillo
039,Ixil
084,Ixmatlahuacan
030,Ixmiquilpan
065,Ixpantepec Nieves
083,Ixtacamaxtitlán
043,Ixtacomitán
015,Ixtacuixtla De Mariano Matamoros
085,Ixtaczoquitlán
044,Ixtapa
039,Ixtapaluca
040,Ixtapan De La Sal
041,Ixtapan Del Oro
045,Ixtapangajoya
016,Ixtenco
084,Ixtepec
042,Ixtlahuaca
006,Ixtlahuacán
044,Ixtlahuacán De Los Membrillos
045,Ixtlahuacán Del Río
042,Ixtlán
042,Ixtlán De Juárez
006,Ixtlán Del Río
040,Izamal
006,Iztacalco
007,Iztapalapa
085,Izúcar De Matamoros
031,Jacala De Ledezma
043,Jacona
007,Jala
086,Jalacingo
009,Jalapa
088,Jalcomulco
046,Jalostotitlán
019,Jalpa
010,Jalpa De Méndez
086,Jalpan
009,Jalpan De Serra
044,Jaltenco
089,Jáltipan
032,Jaltocán
090,Jamapa
047,Jamay
035,Janos
010,Jantetelco
018,Jaral Del Progreso
017,Jaumave
019,Jerécuaro
020,Jerez
091,Jesús Carranza
005,Jesús María
045,Jilotepec
049,Jilotlán De Los Dolores
046,Jilotzingo
014,Jiménez
021,Jiménez Del Teul
045,Jiquilpan
046,Jiquipilas
047,Jiquipilco
047,Jitotol
011,Jiutepec
050,Jocotepec
048,Jocotitlán
012,Jojutla
087,Jolalpan
013,Jonacatepec De Leandro Valle
088,Jonotla
011,Jonuta
089,Jopala
049,Joquicingo
169,José Azueta
079,José Joaquín De Herrera
006,José María Morelos
113,José Sixto Verduzco
022,Juan Aldama
090,Juan C. Bonilla
091,Juan Galindo
092,Juan N. Méndez
039,Juan R. Escudero
094,Juan Rodríguez Clara
051,Juanacatlán
015,Juárez
033,Juárez Hidalgo
023,Juchipila
095,Juchique De Ferrer
080,Juchitán
050,Juchitepec
052,Juchitlán
038,Julimes
047,Jungapeo
041,Kanasín
042,Kantunil
043,Kaua
044,Kinchil
045,Kopomá
016,La Antigua
018,La Barca
021,La Colorada
017,La Compañía
020,La Concordia
016,La Cruz
036,La Grandeza
035,La Huacana
043,La Huerta
041,La Independencia
050,La Libertad
008,La Magdalena Contreras
048,La Magdalena Tlaltelulco
095,La Magdalena Tlatlauquitepec
057,La Manzanilla De La Paz
040,La Misión
003,La Paz
069,La Pe
127,La Perla
069,La Piedad
076,La Reforma
556,La Trinidad Vista Hermosa
099,La Trinitaria
068,La Unión De Isidoro Montes De Oca
019,La Yesca
093,Lafragua
053,Lagos De Moreno
048,Lagunillas
016,Lamadrid
032,Lampazos De Naranjo
010,Landa De Matamoros
096,Landero Y Coss
049,Larráinzar
061,Las Choapas
052,Las Margaritas
107,Las Minas
075,Las Rosas
132,Las Vigas De Ramírez
052,Lázaro Cárdenas
020,León
040,Leonardo Bravo
012,Lerdo
097,Lerdo De Tejada
051,Lerma
094,Libres
033,Linares
019,Llera
034,Lolotla
044,Loma Bonita
039,López
009,Loreto
003,Los Aldamas
008,Los Cabos
027,Los Herreras
042,Los Ramones
075,Los Reyes
118,Los Reyes De Juárez
025,Luis Moya
123,Luvianos
012,Macuspana
040,Madera
049,Madero
055,Magdalena
045,Magdalena Apasco
046,Magdalena Jaltepec
048,Magdalena Mixtepec
049,Magdalena Ocotlán
050,Magdalena Peñasco
051,Magdalena Teitipac
052,Magdalena Tequisistlán
053,Magdalena Tlacotepec
562,Magdalena Yodocono De Porfirio Díaz
054,Magdalena Zahuatlán
041,Maguarichi
020,Mainero
052,Malinalco
041,Malinaltepec
099,Maltrata
046,Mama
047,Maní
100,Manlio Fabio Altamirano
042,Manuel Benavides
008,Manuel Doblado
007,Manzanillo
051,Mapastepec
013,Mapimí
050,Maravatío
115,Maravilla Tenejapa
051,Marcos Castellanos
101,Mariano Escobedo
034,Marín
055,Mariscala De Juárez
077,Marquelia
116,Marqués De Comillas
102,Martínez De La Torre
042,Mártir De Cuilapan
056,Mártires De Tacubaya
058,Mascota
043,Matachí
017,Matamoros
020,Matehuala
057,Matías Romero Avendaño
057,Matlapa
048,Maxcanú
049,Mayapán
059,Mazamitla
053,Mazapa De Madero
026,Mazapil
096,Mazapiltepec De Juárez
054,Mazatán
017,Mazatecochco De José María Morelos
014,Mazatepec
012,Mazatlán
058,Mazatlán Villa De Flores
103,Mecatlán
104,Mecayapan
105,Medellín De Bravo
053,Melchor Ocampo
023,Méndez
045,Meoqui
050,Mérida
037,Mesones Hidalgo
055,Metapa
035,Metepec
043,Metlatónoc
037,Metztitlán
002,Mexicali
055,Mexicaltzingo
021,Mexquitic De Carmona
060,Mexticacán
124,Mezcalapa
014,Mezquital
028,Mezquital Del Oro
061,Mezquitic
015,Miacatlán
106,Miahuatlán
059,Miahuatlán De Porfirio Díaz
024,Mier
036,Mier Y Noriega
025,Miguel Alemán
029,Miguel Auza
016,Miguel Hidalgo
009,Milpa Alta
037,Mina
008,Minatitlán
051,Mineral De La Reforma
038,Mineral Del Chico
039,Mineral Del Monte
026,Miquihuana
109,Misantla
056,Mitontic
060,Mixistlán De La Reforma
041,Mixquiahuala De Juárez
097,Mixtla
110,Mixtla De Altamirano
062,Mixtlán
044,Mochitlán
051,Mocochá
013,Mocorito
022,Moctezuma
042,Molango De Escamilla
098,Molcaxac
111,Moloacán
030,Momax
018,Monclova
061,Monjas
031,Monte Escobedo
117,Montecristo De Guerrero
038,Montemorelos
039,Monterrey
053,Morelia
019,Morelos
047,Moris
021,Moroleón
057,Motozintla
052,Motul
033,Moyahua De Estrada
055,Múgica
002,Mulegé
053,Muna
011,Muñoz De Domingo Arenas
054,Muxupip
020,Múzquiz
013,Nacajuca
039,Naco
040,Nácori Chico
041,Nacozari De García
021,Nadadores
056,Nahuatzen
048,Namiquipa
021,Nanacamilpa De Mariano Arista
206,Nanchital De Lázaro Cárdenas Del Río
112,Naolinco
113,Naranjal
013,Naranjos Amatlán
062,Natividad
023,Natívitas
057,Naucalpan De Juárez
100,Naupan
114,Nautla
101,Nauzontla
022,Nava
042,Navojoa
018,Navolato
063,Nazareno Etla
015,Nazas
102,Nealtican
064,Nejapa De Madero
059,Nextlalpan
058,Nezahualcóyotl
103,Nicolás Bravo
043,Nicolás Flores
060,Nicolás Romero
058,Nicolás Ruíz
034,Nochistlán De Mejía
057,Nocupétaro
043,Nogales
016,Nombre De Dios
049,Nonoava
044,Nopala De Villagrán
061,Nopaltepec
104,Nopalucan
035,Noria De Ángeles
050,Nuevo Casas Grandes
039,Nuevo Ideal
027,Nuevo Laredo
028,Nuevo Morelos
058,Nuevo Parangaricutiro
059,Nuevo Urecho
504,Nuevo Zoquiápam
060,Numarán
067,Oaxaca De Juárez
023,Ocampo
059,Ocosingo
060,Ocotepec
063,Ocotlán
068,Ocotlán De Morelos
062,Ocoyoacac
106,Ocoyucan
061,Ocozocoautla De Espinosa
063,Ocuilan
016,Ocuituco
052,Ojinaga
036,Ojocaliente
064,Ojuelos De Jalisco
045,Olinalá
107,Olintla
116,Oluta
117,Omealca
046,Ometepec
045,Omitlán De Juárez
044,Onavas
055,Opichén
045,Opodepe
046,Oquitoa
108,Oriental
118,Orizaba
062,Ostuacán
063,Osumacinta
019,Otáez
119,Otatitlán
120,Oteapan
004,Othón P. Blanco
065,Otumba
066,Otzoloapan
067,Otzolotepec
064,Oxchuc
056,Oxkutzcab
121,Ozuluama De Mascareñas
068,Ozumba
006,Pabellón De Arteaga
048,Pachuca De Soto
047,Pacula
030,Padilla
109,Pahuatlán
062,Pajacuarán
122,Pajapan
065,Palenque
007,Palizada
110,Palmar De Bravo
031,Palmillas
057,Panabá
063,Panindícuaro
024,Panotla
066,Pantelhó
067,Pantepec
123,Pánuco
020,Pánuco De Coronado
069,Papalotla
041,Papalotla De Xicohténcatl
124,Papantla
065,Paracho
064,Parácuaro
014,Paraíso
040,Parás
024,Parras
126,Paso De Ovejas
125,Paso Del Macho
066,Pátzcuaro
047,Pedro Ascencio Alquisiras
012,Pedro Escobedo
013,Peñamiller
067,Penjamillo
023,Pénjamo
021,Peñón Blanco
068,Peribán
128,Perote
041,Pesquería
048,Petatlán
112,Petlalcingo
058,Peto
113,Piaxtla
068,Pichucalco
025,Piedras Negras
065,Pihuamo
069,Pijijiapan
049,Pilcaya
002,Pinal De Amoles
038,Pinos
070,Pinotepa De Don Luis
049,Pisaflores
047,Pitiquito
129,Platón Sánchez
130,Playa Vicente
005,Playas De Rosarito
071,Pluma Hidalgo
022,Poanas
071,Polotitlán
066,Poncitlán
131,Poza Rica De Hidalgo
053,Praxedis G. Guerrero
026,Progreso
050,Progreso De Obregón
114,Puebla
023,Pueblo Nuevo
072,Pueblo Nuevo Solistahuacán
133,Pueblo Viejo
017,Puente De Ixtla
134,Puente Nacional
011,Puerto Morelos
048,Puerto Peñasco
067,Puerto Vallarta
050,Pungarabato
070,Purépero
025,Purísima Del Rincón
071,Puruándiro
073,Putla Villa De Guerrero
115,Quecholac
051,Quechultenango
072,Queréndaro
014,Querétaro
116,Quimixtlán
060,Quintana Roo
049,Quiriego
073,Quiroga
069,Quitupan
135,Rafael Delgado
117,Rafael Lara Grajales
136,Rafael Lucio
027,Ramos Arizpe
073,Rayón
043,Rayones
074,Reforma
075,Reforma De Pineda
077,Reyes Etla
032,Reynosa
121,Rincón Chamula San Pedro
007,Rincón De Romos
138,Río Blanco
033,Río Bravo
039,Río Grande
061,Río Lagartos
024,Rioverde
054,Riva Palacio
024,Rodeo
078,Rojas De Cuauhtémoc
026,Romita
055,Rosales
010,Rosamorada
056,Rosario
011,Ruíz
076,Sabanilla
028,Sabinas
044,Sabinas Hidalgo
062,Sacalum
029,Sacramento
052,Sahuaripa
076,Sahuayo
040,Sain Alto
027,Salamanca
079,Salina Cruz
025,Salinas
045,Salinas Victoria
139,Saltabarranca
030,Saltillo
077,Salto De Agua
015,Salvador Alvarado
079,Salvador Escalante
028,Salvatierra
063,Samahil
080,San Agustín Amatengo
081,San Agustín Atenango
082,San Agustín Chayuco
083,San Agustín De Las Juntas
084,San Agustín Etla
085,San Agustín Loxicha
036,San Agustín Metzquititlán
086,San Agustín Tlacotepec
052,San Agustín Tlaxiaca
087,San Agustín Yatareni
088,San Andrés Cabecera Nueva
119,San Andrés Cholula
089,San Andrés Dinicuiti
118,San Andrés Duraznal
090,San Andrés Huaxpaltepec
091,San Andrés Huayápam
092,San Andrés Ixtlahuaca
093,San Andrés Lagunas
094,San Andrés Nuxiño
095,San Andrés Paxtlán
096,San Andrés Sinaxtla
097,San Andrés Solaga
140,San Andrés Tenejapan
098,San Andrés Teotilálpam
099,San Andrés Tepetlapa
141,San Andrés Tuxtla
100,San Andrés Yaá
101,San Andrés Zabache
102,San Andrés Zautla
103,San Antonino Castillo Velasco
104,San Antonino El Alto
105,San Antonino Monte Verde
026,San Antonio
106,San Antonio Acutla
120,San Antonio Cañada
107,San Antonio De La Cal
108,San Antonio Huitepec
073,San Antonio La Isla
109,San Antonio Nanahuatípam
110,San Antonio Sinicahua
111,San Antonio Tepetlapa
112,San Baltazar Chichicápam
113,San Baltazar Loxicha
114,San Baltazar Yatzachi El Bajo
115,San Bartolo Coyotepec
121,San Bartolo Soyaltepec
053,San Bartolo Tutotepec
122,San Bartolo Yautepec
116,San Bartolomé Ayautla
117,San Bartolomé Loxicha
118,San Bartolomé Quialana
119,San Bartolomé Yucuañe
120,San Bartolomé Zoogocho
025,San Bernardo
123,San Bernardo Mixtepec
012,San Blas
124,San Blas Atempa
031,San Buenaventura
034,San Carlos
125,San Carlos Yautepec
027,San Ciro De Acosta
126,San Cristóbal Amatlán
127,San Cristóbal Amoltepec
071,San Cristóbal De La Barranca
078,San Cristóbal De Las Casas
128,San Cristóbal Lachirioag
129,San Cristóbal Suchixtlahuaca
049,San Damián Texóloc
072,San Diego De Alejandría
029,San Diego De La Unión
121,San Diego La Mesa Tochimiltzingo
026,San Dimas
130,San Dionisio Del Mar
131,San Dionisio Ocotepec
132,San Dionisio Ocotlán
133,San Esteban Atatlahuca
030,San Felipe
053,San Felipe De Jesús
074,San Felipe Del Progreso
134,San Felipe Jalapa De Díaz
046,San Felipe Orizatlán
135,San Felipe Tejalápam
122,San Felipe Teotlalcingo
123,San Felipe Tepatlán
136,San Felipe Usila
079,San Fernando
137,San Francisco Cahuacuá
138,San Francisco Cajonos
139,San Francisco Chapulapa
140,San Francisco Chindúa
057,San Francisco De Borja
058,San Francisco De Conchos
011,San Francisco De Los Romo
141,San Francisco Del Mar
059,San Francisco Del Oro
031,San Francisco Del Rincón
142,San Francisco Huehuetlán
143,San Francisco Ixhuatán
144,San Francisco Jaltepetongo
145,San Francisco Lachigoló
146,San Francisco Logueche
147,San Francisco Nuxaño
148,San Francisco Ozolotepec
149,San Francisco Sola
150,San Francisco Telixtlahuaca
151,San Francisco Teopan
050,San Francisco Tetlanohcan
152,San Francisco Tlapancingo
113,San Gabriel
124,San Gabriel Chilac
153,San Gabriel Mixtepec
125,San Gregorio Atzompa
016,San Ignacio
125,San Ignacio Cerro Gordo
072,San Ignacio Río Muerto
154,San Ildefonso Amatlán
155,San Ildefonso Sola
156,San Ildefonso Villa Alta
157,San Jacinto Amilpas
158,San Jacinto Tlacotepec
054,San Javier
159,San Jerónimo Coatlán
160,San Jerónimo Silacayoapilla
161,San Jerónimo Sosola
162,San Jerónimo Taviche
163,San Jerónimo Tecóatl
126,San Jerónimo Tecuanipan
550,San Jerónimo Tlacochahuaya
127,San Jerónimo Xayacatlán
051,San Jerónimo Zacualpan
